DATE,HomePriceIndex,ConsumerConfidenceIndex,ConsumerSentiment,InterestRatesAndPriceIndexes,CompositeLeadingIndicator,LaborCost,NationalUnemploymentRate,HousingStarts,DebtToGDPRatio,GDPGrowthRate,Permit1Unit,Permit2to4Unit,Permit5Unit,BuilderConfidence
1990-01-01,76.9,126.1,93.0,9501.0,99.79,1.3,5.4,1551,51.97,1.89,989000,85000,674000,43.0
1990-02-01,77.05,126.2,89.5,9501.0,99.82,1.3,5.3,1437,51.97,1.89,963000,60000,306000,42.0
1990-03-01,77.2,126.8,91.3,9501.0,99.82,1.3,5.2,1289,51.97,1.89,912000,56000,278000,44.0
1990-04-01,77.28,127.1,93.9,9501.0,99.74,1.3,5.4,1248,52.75,1.89,818000,58000,260000,40.0
1990-05-01,77.3,127.3,90.6,9501.0,99.57,1.3,5.4,1212,52.75,1.89,793000,51000,223000,39.0
1990-06-01,77.26,128.1,88.3,9501.0,99.27,1.3,5.2,1177,52.75,1.89,795000,48000,265000,36.0
1990-07-01,77.14,128.7,88.2,9501.0,98.87,1.3,5.5,1171,53.75,1.89,775000,59000,244000,36.0
1990-08-01,77.01,129.7,76.4,9501.0,98.38,1.3,5.7,1115,53.75,1.89,764000,62000,243000,32.0
1990-09-01,76.85,130.2,72.8,9501.0,97.89,1.3,5.9,1110,53.75,1.89,721000,48000,207000,30.0
1990-10-01,76.7,130.6,63.9,9501.0,97.47,1.3,5.9,1014,56.04,1.89,708000,46000,171000,31.0
1990-11-01,76.37,130.8,66.0,9501.0,97.17,1.3,6.2,1145,56.04,1.89,682000,41000,218000,28.0
1990-12-01,76.18,131.0,65.5,9501.0,97.06,1.3,6.3,969,56.04,1.89,655000,45000,161000,25.0
1991-01-01,75.92,132.0,66.8,9501.0,97.12,4.8,6.4,798,57.42,-0.11,587000,41000,158000,22.0
1991-02-01,75.73,132.4,70.4,9501.0,97.35,4.8,6.6,965,57.42,-0.11,680000,42000,131000,20.0
1991-03-01,75.57,132.6,87.7,9501.0,97.68,4.8,6.8,921,57.42,-0.11,694000,46000,171000,27.0
1991-04-01,75.56,132.7,81.8,9522.0,98.05,4.8,6.7,1001,57.75,-0.11,742000,46000,128000,36.0
1991-05-01,75.76,133.1,78.3,9522.0,98.43,4.8,6.9,996,57.75,-0.11,763000,39000,189000,41.0
1991-06-01,75.99,133.2,82.1,9522.0,98.77,4.8,6.9,1036,57.75,-0.11,763000,48000,153000,40.0
1991-07-01,76.08,133.6,82.9,9273.0,99.03,4.8,6.8,1063,59.06,-0.11,787000,41000,145000,42.0
1991-08-01,76.11,133.8,82.0,9273.0,99.16,4.8,6.9,1049,59.06,-0.11,772000,40000,132000,41.0
1991-09-01,76.19,134.3,83.0,9273.0,99.19,4.8,6.9,1015,59.06,-0.11,788000,44000,142000,36.0
1991-10-01,76.07,134.7,78.3,8690.0,99.14,4.8,7.0,1079,60.69,-0.11,787000,41000,163000,37.0
1991-11-01,76.01,135.2,69.1,8690.0,99.06,4.8,7.0,1103,60.69,-0.11,789000,46000,149000,37.0
1991-12-01,76.06,135.6,68.2,8690.0,99.02,4.8,7.3,1079,60.69,-0.11,860000,41000,160000,37.0
1992-01-01,76.08,135.9,67.5,8688.0,99.07,-3.7,7.3,1176,61.0,3.52,893000,44000,140000,35.0
1992-02-01,76.16,136.1,68.8,8688.0,99.2,-3.7,7.4,1250,61.0,3.52,951000,43000,152000,44.0
1992-03-01,76.28,136.4,76.0,8688.0,99.37,-3.7,7.4,1297,61.0,3.52,897000,44000,141000,49.0
1992-04-01,76.34,136.7,77.2,8678.0,99.52,-3.7,7.4,1099,61.58,3.52,868000,43000,143000,46.0
1992-05-01,76.4,136.9,79.2,8678.0,99.62,-3.7,7.6,1214,61.58,3.52,885000,45000,126000,46.0
1992-06-01,76.33,137.4,80.4,8678.0,99.66,-3.7,7.8,1145,61.58,3.52,888000,46000,123000,47.0
1992-07-01,76.26,137.7,76.6,8011.0,99.65,-3.7,7.7,1139,61.9,3.52,884000,42000,163000,45.0
1992-08-01,76.23,137.9,76.1,8011.0,99.64,-3.7,7.6,1226,61.9,3.52,883000,53000,139000,46.0
1992-09-01,76.24,138.1,75.6,8011.0,99.67,-3.7,7.6,1186,61.9,3.52,914000,44000,156000,49.0
1992-10-01,76.38,138.6,73.3,8212.0,99.78,-3.7,7.3,1244,62.52,3.52,944000,50000,138000,48.0
1992-11-01,76.56,139.0,85.3,8212.0,99.93,-3.7,7.4,1214,62.52,3.52,945000,48000,125000,50.0
1992-12-01,76.67,139.2,91.0,8212.0,100.07,-3.7,7.4,1227,62.52,3.52,1017000,45000,114000,54.0
1993-01-01,76.78,139.6,89.3,7708.0,100.13,-3.4,7.3,1210,62.87,2.75,989000,47000,141000,56.0
1993-02-01,76.84,139.6,86.6,7708.0,100.12,-3.4,7.1,1210,62.87,2.75,953000,52000,143000,55.0
1993-03-01,76.87,140.0,85.9,7708.0,100.02,-3.4,7.0,1083,62.87,2.75,881000,44000,131000,52.0
1993-04-01,76.94,140.6,85.6,7430.0,99.88,-3.4,7.1,1258,63.92,2.75,922000,52000,130000,53.0
1993-05-01,77.04,140.8,80.3,7430.0,99.72,-3.4,7.1,1260,63.92,2.75,911000,48000,153000,52.0
1993-06-01,77.24,141.2,81.5,7430.0,99.59,-3.4,7.0,1280,63.92,2.75,932000,51000,147000,51.0
1993-07-01,77.43,141.3,77.0,7062.0,99.51,-3.4,6.9,1254,64.1,2.75,977000,53000,144000,53.0
1993-08-01,77.61,141.7,77.3,7062.0,99.53,-3.4,6.8,1300,64.1,2.75,1000000,52000,178000,57.0
1993-09-01,77.79,142.0,77.9,7062.0,99.63,-3.4,6.7,1343,64.1,2.75,1028000,59000,164000,60.0
1993-10-01,77.94,142.3,82.7,7058.0,99.82,-3.4,6.8,1392,64.67,2.75,1071000,58000,158000,62.0
1993-11-01,78.15,142.6,81.2,7058.0,100.06,-3.4,6.6,1376,64.67,2.75,1125000,58000,174000,66.0
1993-12-01,78.32,143.0,88.2,7058.0,100.33,-3.4,6.5,1533,64.67,2.75,1161000,55000,245000,71.0
1994-01-01,78.59,143.2,94.3,7353.0,100.58,-4.4,6.6,1272,64.31,4.03,1112000,68000,210000,71.0
1994-02-01,78.73,143.7,93.2,7353.0,100.78,-4.4,6.6,1337,64.31,4.03,1065000,56000,148000,70.0
1994-03-01,78.86,144.1,91.5,7353.0,100.94,-4.4,6.5,1564,64.31,4.03,1078000,61000,203000,64.0
1994-04-01,78.99,144.0,92.6,8468.0,101.03,-4.4,6.4,1465,64.11,4.03,1084000,62000,246000,61.0
1994-05-01,79.22,144.4,92.8,8468.0,101.08,-4.4,6.1,1526,64.11,4.03,1110000,66000,220000,61.0
1994-06-01,79.42,144.6,91.2,8468.0,101.08,-4.4,6.1,1409,64.11,4.03,1067000,58000,232000,59.0
1994-07-01,79.59,144.8,89.0,8596.0,101.04,-4.4,6.1,1439,64.01,4.03,1041000,60000,234000,57.0
1994-08-01,79.78,145.3,91.7,8596.0,100.99,-4.4,6.0,1450,64.01,4.03,1054000,60000,263000,53.0
1994-09-01,79.92,145.5,91.5,8596.0,100.92,-4.4,5.9,1474,64.01,4.03,1056000,60000,296000,53.0
1994-10-01,80.06,145.7,92.7,9105.0,100.83,-4.4,5.8,1450,64.39,4.03,1042000,68000,287000,50.0
1994-11-01,80.15,146.0,91.6,9105.0,100.69,-4.4,5.6,1511,64.39,4.03,1014000,66000,260000,49.0
1994-12-01,80.3,146.0,95.1,9105.0,100.5,-4.4,5.5,1455,64.39,4.03,1086000,62000,248000,50.0
1995-01-01,80.43,146.6,97.6,8785.0,100.24,3.3,5.6,1407,64.66,2.68,967000,66000,249000,43.0
1995-02-01,80.53,146.9,95.1,8785.0,99.92,3.3,5.4,1316,64.66,2.68,916000,52000,286000,40.0
1995-03-01,80.6,147.2,90.3,8785.0,99.57,3.3,5.4,1249,64.66,2.68,914000,64000,248000,42.0
