date,Permit1Unit,Permit2to4Unit,Permit5Unit,BuilderConfidence
1990-01-01,989000,85000,674000,43.0
1990-02-01,963000,60000,306000,42.0
1990-03-01,912000,56000,278000,44.0
1990-04-01,818000,58000,260000,40.0
1990-05-01,793000,51000,223000,39.0
1990-06-01,795000,48000,265000,36.0
1990-07-01,775000,59000,244000,36.0
1990-08-01,764000,62000,243000,32.0
1990-09-01,721000,48000,207000,30.0
1990-10-01,708000,46000,171000,31.0
1990-11-01,682000,41000,218000,28.0
1990-12-01,655000,45000,161000,25.0
1991-01-01,587000,41000,158000,22.0
1991-02-01,680000,42000,131000,20.0
1991-03-01,694000,46000,171000,27.0
1991-04-01,742000,46000,128000,36.0
1991-05-01,763000,39000,189000,41.0
1991-06-01,763000,48000,153000,40.0
1991-07-01,787000,41000,145000,42.0
1991-08-01,772000,40000,132000,41.0
1991-09-01,788000,44000,142000,36.0
1991-10-01,787000,41000,163000,37.0
1991-11-01,789000,46000,149000,37.0
1991-12-01,860000,41000,160000,37.0
1992-01-01,893000,44000,140000,35.0
1992-02-01,951000,43000,152000,44.0
1992-03-01,897000,44000,141000,49.0
1992-04-01,868000,43000,143000,46.0
1992-05-01,885000,45000,126000,46.0
1992-06-01,888000,46000,123000,47.0
1992-07-01,884000,42000,163000,45.0
1992-08-01,883000,53000,139000,46.0
1992-09-01,914000,44000,156000,49.0
1992-10-01,944000,50000,138000,48.0
1992-11-01,945000,48000,125000,50.0
1992-12-01,1017000,45000,114000,54.0
1993-01-01,989000,47000,141000,56.0
1993-02-01,953000,52000,143000,55.0
1993-03-01,881000,44000,131000,52.0
1993-04-01,922000,52000,130000,53.0
1993-05-01,911000,48000,153000,52.0
1993-06-01,932000,51000,147000,51.0
1993-07-01,977000,53000,144000,53.0
1993-08-01,1000000,52000,178000,57.0
1993-09-01,1028000,59000,164000,60.0
1993-10-01,1071000,58000,158000,62.0
1993-11-01,1125000,58000,174000,66.0
1993-12-01,1161000,55000,245000,71.0
1994-01-01,1112000,68000,210000,71.0
1994-02-01,1065000,56000,148000,70.0
1994-03-01,1078000,61000,203000,64.0
1994-04-01,1084000,62000,246000,61.0
